program_kode,bulan,target_volume,realisasi_volume
T-09,4,20.0,22.86
T-09,5,20.0,23.61
T-09,6,20.0,19.35
T-09,7,20.0,17.45
T-09,8,20.0,17.39
T-09,9,20.0,
T-09,10,20.0,
T-09,11,20.0,
T-09,12,20.0,
T-10,1,0.0,0.0
T-10,2,0.2,0.07
T-10,3,0.59,0.18
T-10,4,0.88,0.35
T-10,5,1.18,0.44
T-10,6,1.57,0.51
T-10,7,0.39,0.16
T-10,8,0.69,0.25
T-10,9,0.98,
T-10,10,1.18,
T-10,11,0.98,
T-10,12,1.18,
N-01,1,300.0,299.24
N-01,2,300.0,242.91
N-01,3,300.0,285.1
N-01,4,300.0,256.97
N-01,5,300.0,269.5
N-01,6,300.0,247.06
N-01,7,300.0,316.7
N-01,8,300.0,290.5
N-01,9,300.0,
N-01,10,300.0,
N-01,11,300.0,
N-01,12,300.0,
N-02,1,95833.33,76379.13
N-02,2,95833.33,94231.83
N-02,3,95833.33,83456.82
N-02,4,95833.33,78046.28
N-02,5,95833.33,80713.09
N-02,6,95833.33,87632.58
N-02,7,95833.33,83425.91
N-02,8,95833.33,90781.03
N-02,9,95833.33,
N-02,10,95833.33,
N-02,11,95833.33,
N-02,12,95833.33,
N-03,1,283.33,235.58
N-03,2,283.33,212.62
N-03,3,283.33,203.35
N-03,4,283.33,202.88
N-03,5,283.33,208.25
N-03,6,283.33,187.09
N-03,7,283.33,226.66
N-03,8,283.33,200.89
N-03,9,283.33,
N-03,10,283.33,
N-03,11,283.33,
N-03,12,283.33,
N-04,1,229.17,198.19
N-04,2,229.17,180.22
N-04,3,229.17,177.12
N-04,4,229.17,213.38
N-04,5,229.17,221.67
N-04,6,229.17,172.47
N-04,7,229.17,231.04
N-04,8,229.17,182.58
N-04,9,229.17,
N-04,10,229.17,
N-04,11,229.17,
N-04,12,229.17,
N-05,1,38.0,29.32
N-05,2,95.0,54.85
N-05,3,209.0,127.0
N-05,4,95.0,55.7
N-05,5,133.0,100.62
N-05,6,228.0,125.8
N-05,7,95.0,64.71
N-05,8,133.0,88.37
N-05,9,247.0,
N-05,10,152.0,
N-05,11,209.0,
N-05,12,266.0,
N-06,1,14.0,12.21
N-06,2,14.0,9.38
N-06,3,14.0,8.98
N-06,4,14.0,11.77
N-06,5,14.0,11.51
N-06,6,14.0,11.72
N-06,7,14.0,11.23
N-06,8,14.0,11.68
N-06,9,14.0,
N-06,10,14.0,
N-06,11,14.0,
N-06,12,14.0,
N-07,1,200.0,158.4
N-07,2,200.0,123.94
N-07,3,200.0,140.63
N-07,4,200.0,151.56
N-07,5,200.0,122.29
N-07,6,200.0,140.33
N-07,7,200.0,117.13
N-07,8,200.0,149.73
N-07,9,200.0,
N-07,10,200.0,
N-07,11,200.0,
N-07,12,200.0,
N-08,1,350.0,274.03
N-08,2,350.0,254.52
N-08,3,350.0,290.11
N-08,4,350.0,318.35
N-08,5,350.0,270.47
N-08,6,350.0,280.25
N-08,7,350.0,258.06
N-08,8,350.0,322.22
N-08,9,350.0,
N-08,10,350.0,
N-08,11,350.0,
N-08,12,350.0,
N-09,1,6.4,4.07
N-09,2,16.0,9.81
N-09,3,35.2,18.83
N-09,4,16.0,8.98
N-09,5,22.4,14.18
N-09,6,38.4,18.27
N-09,7,16.0,8.12
N-09,8,22.4,12.77
N-09,9,41.6,
N-09,10,25.6,
N-09,11,35.2,
N-09,12,44.8,
N-10,1,91.67,92.73
N-10,2,91.67,87.73
N-10,3,91.67,77.32
N-10,4,91.67,89.22
N-10,5,91.67,84.88
N-10,6,91.67,85.78
N-10,7,91.67,84.96
N-10,8,91.67,86.72
N-10,9,91.67,
N-10,10,91.67,
N-10,11,91.67,
N-10,12,91.67,
N-11,1,1000.0,848.97
N-11,2,1000.0,880.66
N-11,3,1000.0,1066.23
N-11,4,1000.0,1065.04
N-11,5,1000.0,891.72
N-11,6,1000.0,872.28
N-11,7,1000.0,1048.57
N-11,8,1000.0,1086.54
N-11,9,1000.0,
N-11,10,1000.0,
N-11,11,1000.0,
N-11,12,1000.0,
N-12,1,17.5,9.2
N-12,2,17.5,9.91
N-12,3,17.5,11.35
N-12,4,17.5,12.52
N-12,5,17.5,9.65
N-12,6,17.5,12.37
N-12,7,17.5,10.22
N-12,8,17.5,10.18
N-12,9,17.5,
N-12,10,17.5,
N-12,11,17.5,
N-12,12,17.5,
